total,state,zone,date,sales
total,State 2,Zone P,2021-09-24,10376
total,State 1,Zone R,2021-12-11,7596
total,State 2,Zone Q,2020-07-14,6550
total,State 1,Zone R,2020-03-08,7261
total,State 3,Zone Q,2023-11-13,4497
total,State 1,Zone Q,2020-06-17,3429
total,State 1,Zone Q,2020-10-13,7059
total,State 3,Zone R,2020-12-08,7284
total,State 2,Zone R,2020-06-29,4029
total,State 2,Zone Q,2021-09-10,6081
total,State 3,Zone Q,2021-10-19,6026
total,State 1,Zone R,2023-05-15,6551
total,State 1,Zone P,2020-10-16,4703
total,State 3,Zone R,2022-08-31,4632
total,State 2,Zone P,2023-10-28,7759
total,State 2,Zone R,2020-09-21,8941
total,State 2,Zone R,2020-10-22,7539
total,State 1,Zone P,2023-08-01,3787
total,State 1,Zone R,2021-09-10,7033
total,State 3,Zone Q,2022-10-16,6133
total,State 3,Zone Q,2023-12-01,7918
total,State 3,Zone P,2023-05-26,4583
total,State 2,Zone P,2021-01-19,9407
total,State 1,Zone Q,2020-02-01,7540
total,State 2,Zone R,2020-10-09,11663
total,State 1,Zone P,2020-06-19,3541
total,State 2,Zone P,2022-05-26,9042
total,State 1,Zone P,2020-01-23,6299
total,State 2,Zone Q,2020-02-05,10024
total,State 3,Zone Q,2020-12-22,6434
total,State 2,Zone R,2022-05-20,6625
total,State 2,Zone P,2020-01-25,12956
total,State 1,Zone R,2020-07-24,4532
total,State 1,Zone R,2020-03-05,5801
total,State 3,Zone P,2021-08-10,3810
total,State 1,Zone R,2020-01-01,10088
total,State 2,Zone R,2021-11-03,9454
total,State 3,Zone R,2023-03-05,6977
total,State 1,Zone P,2022-01-02,7439
total,State 3,Zone P,2022-08-04,3011
total,State 1,Zone P,2022-09-11,7625
total,State 2,Zone Q,2022-07-06,4303
total,State 1,Zone P,2020-06-02,5234
total,State 3,Zone R,2023-05-02,4173
total,State 3,Zone Q,2022-04-25,4007
total,State 1,Zone Q,2023-03-14,7638
total,State 1,Zone P,2022-02-26,8313
total,State 2,Zone P,2021-05-30,13580
total,State 1,Zone R,2022-01-05,8039
total,State 1,Zone Q,2021-05-21,5561
total,State 2,Zone R,2022-10-02,13483
total,State 1,Zone R,2020-09-15,6890
total,State 1,Zone Q,2020-09-26,9731
total,State 2,Zone Q,2021-08-12,5989
total,State 2,Zone R,2023-09-01,7272
total,State 1,Zone Q,2021-10-24,6595
total,State 3,Zone P,2021-05-26,5670
total,State 3,Zone R,2020-10-19,3384
total,State 1,Zone P,2020-10-31,5828
total,State 3,Zone Q,2022-10-01,5883
total,State 1,Zone R,2020-12-04,10148
total,State 2,Zone R,2020-07-14,5861
total,State 2,Zone Q,2021-03-10,8451
total,State 2,Zone R,2021-10-13,6335
total,State 1,Zone P,2021-02-13,6228
total,State 3,Zone P,2020-11-27,8017
total,State 3,Zone Q,2020-07-28,3553
total,State 1,Zone R,2020-01-14,7007
total,State 3,Zone P,2023-08-01,2529
total,State 1,Zone Q,2020-05-24,7145
total,State 3,Zone Q,2023-11-05,8734
total,State 2,Zone R,2022-08-31,4973
total,State 3,Zone P,2022-12-16,8340
total,State 1,Zone R,2020-05-13,7138
total,State 2,Zone Q,2022-08-21,9034
total,State 1,Zone P,2022-01-19,7470
total,State 1,Zone R,2023-10-04,7122
total,State 2,Zone P,2020-01-17,12942
total,State 3,Zone P,2021-10-01,5560
total,State 3,Zone R,2021-12-02,5268
total,State 1,Zone R,2020-10-26,4534
total,State 1,Zone R,2022-12-07,8072
total,State 2,Zone R,2023-01-20,8406
total,State 2,Zone P,2021-05-12,11013
total,State 1,Zone P,2021-06-07,4327
total,State 2,Zone P,2023-01-19,15278
total,State 2,Zone R,2022-01-11,12641
total,State 3,Zone Q,2021-04-18,5377
total,State 3,Zone R,2020-08-07,3465
total,State 3,Zone R,2022-02-11,5279
total,State 1,Zone R,2020-07-26,4022
total,State 1,Zone P,2023-07-07,5367
total,State 3,Zone R,2021-02-05,6356
total,State 3,Zone R,2021-02-22,3241
total,State 1,Zone P,2020-11-30,7627
total,State 3,Zone Q,2022-06-19,5110
total,State 1,Zone R,2021-05-14,6551
total,State 3,Zone Q,2021-07-09,3959
total,State 3,Zone R,2021-03-19,3788
total,State 2,Zone P,2023-02-19,8805
total,State 2,Zone P,2023-03-29,6606
total,State 3,Zone P,2023-07-26,3431
total,State 1,Zone R,2021-05-28,4503
total,State 2,Zone P,2022-07-10,5468
total,State 3,Zone Q,2021-04-10,5330
total,State 1,Zone P,2022-04-15,5067
total,State 2,Zone R,2023-10-17,6871
total,State 2,Zone Q,2020-09-26,7764
total,State 3,Zone R,2021-09-20,2973
total,State 2,Zone P,2020-12-31,12119
total,State 1,Zone P,2021-09-05,9537
total,State 2,Zone R,2020-12-10,9711
total,State 1,Zone P,2021-01-04,5535
total,State 3,Zone Q,2022-03-12,7355
total,State 3,Zone R,2022-03-24,6069
total,State 3,Zone Q,2022-07-01,3573
total,State 3,Zone Q,2021-01-24,10031
total,State 2,Zone P,2021-11-12,12662
total,State 1,Zone R,2022-06-29,3576
total,State 3,Zone P,2021-12-14,7589
total,State 3,Zone R,2020-01-04,7296
total,State 1,Zone R,2020-08-23,6492
total,State 2,Zone Q,2022-08-17,6257
total,State 1,Zone Q,2022-09-20,4955
total,State 3,Zone R,2021-11-22,3732
total,State 2,Zone R,2021-11-27,13377
total,State 1,Zone R,2021-05-24,4517
total,State 3,Zone Q,2021-08-03,4295
total,State 2,Zone Q,2020-03-11,8453
total,State 1,Zone Q,2022-07-01,3710
total,State 2,Zone R,2020-03-20,6662
total,State 1,Zone R,2023-08-24,4696
total,State 2,Zone R,2021-03-18,11737
total,State 3,Zone Q,2023-10-09,3448
total,State 3,Zone Q,2022-11-06,9450
total,State 3,Zone Q,2022-10-04,5526
total,State 3,Zone R,2020-05-03,4098
total,State 3,Zone R,2022-03-15,3722
total,State 2,Zone R,2023-02-23,8809
total,State 2,Zone Q,2023-05-30,10608
total,State 3,Zone P,2021-09-26,6707
total,State 1,Zone R,2022-01-20,7114
total,State 1,Zone R,2023-12-19,6251
total,State 3,Zone P,2022-08-17,4222
total,State 1,Zone R,2021-08-21,4716
total,State 1,Zone Q,2020-10-29,6307
total,State 2,Zone Q,2023-12-10,15866
total,State 3,Zone Q,2022-02-04,3803
total,State 3,Zone R,2022-01-04,8046
total,State 1,Zone R,2021-10-21,6768
total,State 1,Zone P,2020-01-06,7892
total,State 2,Zone Q,2021-03-18,11121
total,State 2,Zone R,2022-11-29,14959
total,State 1,Zone Q,2021-08-16,3548
total,State 1,Zone Q,2020-10-30,4414
total,State 3,Zone P,2023-12-15,7246
total,State 2,Zone R,2022-01-04,9104
total,State 2,Zone Q,2021-01-23,9790
total,State 3,Zone R,2021-07-15,3815
total,State 2,Zone R,2022-04-02,8997
total,State 2,Zone P,2022-10-18,7283
total,State 1,Zone R,2021-03-03,7808
total,State 3,Zone P,2021-04-02,5198
total,State 1,Zone P,2023-12-05,7122
total,State 1,Zone Q,2021-03-03,7384
total,State 2,Zone Q,2020-07-27,4583
total,State 3,Zone Q,2022-12-26,6246
total,State 1,Zone P,2021-02-07,6891
total,State 3,Zone P,2020-07-29,2503
total,State 3,Zone P,2022-11-03,6863
total,State 3,Zone R,2023-01-16,6491
total,State 1,Zone P,2023-09-29,6069
total,State 3,Zone R,2020-10-03,7892
total,State 2,Zone R,2020-06-25,7912
total,State 2,Zone Q,2022-06-24,5663
total,State 1,Zone Q,2020-02-09,7894
total,State 1,Zone Q,2023-01-09,4513
total,State 3,Zone R,2021-06-19,3098
total,State 2,Zone R,2022-05-22,12504
total,State 1,Zone R,2021-08-18,3362
total,State 3,Zone P,2022-03-31,6476
total,State 1,Zone Q,2021-02-21,5853
total,State 3,Zone P,2020-01-09,5391
total,State 1,Zone Q,2020-03-03,6104
total,State 3,Zone Q,2023-04-22,7171
total,State 2,Zone P,2020-08-03,6021
total,State 3,Zone R,2022-04-28,6253
total,State 3,Zone Q,2022-06-21,4087
total,State 1,Zone Q,2022-01-19,5570
total,State 1,Zone P,2023-09-03,8266
total,State 3,Zone R,2022-09-05,4156
total,State 2,Zone Q,2020-10-31,12069
total,State 2,Zone Q,2022-11-05,11588
total,State 3,Zone R,2023-07-13,3332
total,State 1,Zone P,2021-10-12,5263
total,State 1,Zone R,2020-08-27,4825
total,State 3,Zone P,2023-01-16,5440
total,State 3,Zone R,2023-07-24,2131
total,State 3,Zone P,2020-11-18,6760
total,State 2,Zone P,2020-08-17,4604
total,State 2,Zone R,2021-07-05,3895
total,State 2,Zone R,2023-07-28,6913
total,State 3,Zone R,2021-10-24,4651
total,State 1,Zone P,2022-07-27,3174
total,State 3,Zone P,2020-11-15,5380
total,State 3,Zone P,2020-08-27,4444
total,State 2,Zone Q,2020-07-19,6861
total,State 2,Zone R,2021-02-26,10030
total,State 2,Zone Q,2022-05-31,6831
total,State 1,Zone P,2023-03-25,7108
total,State 1,Zone P,2021-07-13,3673
total,State 1,Zone P,2021-01-06,5387
total,State 2,Zone Q,2021-09-24,6494
total,State 2,Zone P,2023-01-11,13595
total,State 2,Zone Q,2022-11-01,11935
total,State 1,Zone Q,2020-01-20,4379
total,State 1,Zone R,2020-02-16,6546
total,State 1,Zone P,2020-12-27,10286
total,State 3,Zone P,2022-02-25,4731
total,State 1,Zone P,2021-12-29,7040
total,State 1,Zone R,2020-09-04,7244
total,State 2,Zone R,2023-04-10,6462
total,State 3,Zone P,2021-02-18,4596
total,State 1,Zone P,2022-03-16,5756
total,State 2,Zone R,2022-03-20,13332
total,State 1,Zone P,2020-10-29,4529
total,State 3,Zone R,2021-12-04,8734
total,State 2,Zone P,2023-05-25,10868
total,State 3,Zone R,2020-12-14,5681
total,State 2,Zone P,2022-02-04,7905
total,State 2,Zone P,2021-11-02,9730
total,State 3,Zone P,2022-10-30,7933
total,State 1,Zone R,2020-12-10,5773
total,State 2,Zone P,2021-06-25,4757
total,State 1,Zone Q,2020-05-21,6817
total,State 1,Zone R,2023-09-26,6342
total,State 1,Zone R,2021-10-18,6549
total,State 2,Zone Q,2023-08-17,4865
total,State 2,Zone R,2023-07-10,6526
total,State 1,Zone Q,2021-12-10,9581
total,State 1,Zone P,2020-03-22,8692
total,State 2,Zone R,2023-10-16,7474
total,State 2,Zone Q,2022-03-21,5572
total,State 2,Zone Q,2023-11-26,17041
total,State 1,Zone P,2022-04-11,5933
total,State 2,Zone Q,2023-04-08,9946
total,State 3,Zone Q,2020-01-14,7065
total,State 1,Zone P,2023-12-24,8665
total,State 3,Zone P,2022-07-16,3428
total,State 1,Zone Q,2021-08-17,5668
total,State 1,Zone Q,2022-01-13,6391
total,State 2,Zone R,2020-02-20,9839
total,State 3,Zone R,2023-05-07,7404
total,State 3,Zone Q,2022-10-21,4453
total,State 3,Zone P,2020-04-07,4452
total,State 3,Zone R,2022-04-09,5829
total,State 3,Zone R,2021-03-12,5504
total,State 2,Zone P,2023-10-17,9037
total,State 2,Zone Q,2022-10-02,13471
total,State 3,Zone P,2021-02-25,3445
total,State 2,Zone R,2020-06-08,5211
total,State 1,Zone P,2020-07-05,3778
total,State 1,Zone P,2020-02-13,6110
total,State 1,Zone Q,2021-06-28,2851
total,State 2,Zone R,2020-12-30,11597
total,State 3,Zone R,2023-04-23,5238
total,State 3,Zone P,2020-07-11,3361
total,State 3,Zone R,2023-04-08,7490
total,State 2,Zone Q,2022-10-07,7816
total,State 2,Zone P,2022-10-29,13105
total,State 1,Zone Q,2022-09-07,6127
total,State 2,Zone R,2022-12-15,12638
total,State 2,Zone P,2022-12-20,11547
total,State 2,Zone Q,2020-08-10,4249
total,State 2,Zone R,2022-09-13,6053
total,State 1,Zone Q,2023-07-22,3622
total,State 3,Zone R,2020-06-14,5373
total,State 3,Zone R,2020-07-07,3640
total,State 2,Zone R,2022-04-19,8479
total,State 2,Zone R,2023-04-09,12149
total,State 2,Zone P,2022-08-21,8524
total,State 1,Zone Q,2020-09-06,8294
total,State 3,Zone Q,2022-05-20,4998
total,State 3,Zone R,2021-10-11,4444
total,State 3,Zone R,2021-12-25,6423
total,State 1,Zone R,2020-05-30,8489
total,State 2,Zone P,2020-12-07,10163
total,State 1,Zone P,2020-01-19,11581
total,State 3,Zone Q,2021-07-18,3729
total,State 1,Zone P,2021-11-12,9092
total,State 3,Zone P,2023-12-29,6398
total,State 3,Zone P,2020-11-07,8507
total,State 3,Zone R,2021-07-16,3546
total,State 3,Zone P,2023-04-06,4074
total,State 1,Zone P,2020-02-19,7141
total,State 2,Zone P,2021-09-10,7690
total,State 1,Zone R,2020-08-16,6749
total,State 2,Zone R,2021-12-28,10524
total,State 3,Zone Q,2020-06-25,3006
total,State 3,Zone P,2021-05-29,4715
total,State 2,Zone P,2022-04-26,6724
total,State 3,Zone P,2022-06-18,4972
total,State 1,Zone R,2023-10-23,6511
total,State 1,Zone Q,2022-04-01,7872
total,State 3,Zone R,2021-03-06,7342
total,State 3,Zone R,2021-08-10,3253
total,State 2,Zone P,2021-06-18,5345
total,State 3,Zone P,2022-06-03,4466
total,State 1,Zone R,2020-09-12,5381
total,State 3,Zone Q,2023-06-14,4074
total,State 3,Zone P,2023-10-16,4494
total,State 1,Zone P,2023-06-12,3783
total,State 2,Zone Q,2022-06-25,8724
total,State 3,Zone Q,2021-01-02,7935
total,State 2,Zone P,2020-03-22,11078
total,State 1,Zone Q,2020-10-05,3376
total,State 2,Zone P,2022-02-20,9592
total,State 1,Zone Q,2021-07-26,3252
total,State 1,Zone R,2021-02-28,9611
total,State 2,Zone Q,2022-12-04,10995
total,State 2,Zone Q,2020-12-29,12561
total,State 3,Zone P,2021-11-02,6365
total,State 1,Zone Q,2021-07-03,6625
total,State 1,Zone P,2021-01-26,5725
total,State 3,Zone R,2023-01-18,8213
total,State 2,Zone Q,2022-04-06,10718
total,State 1,Zone P,2021-05-14,5322
total,State 3,Zone Q,2020-09-26,7800
total,State 3,Zone R,2022-02-12,4969
total,State 2,Zone Q,2023-04-15,12861
total,State 3,Zone Q,2021-04-08,4554
total,State 3,Zone P,2023-12-17,8441
total,State 2,Zone Q,2020-02-21,11009
total,State 1,Zone Q,2023-05-31,4466
total,State 1,Zone R,2021-11-10,7553
total,State 1,Zone R,2022-12-21,6394
total,State 1,Zone R,2022-05-14,6560
total,State 1,Zone R,2022-09-20,6175
total,State 3,Zone R,2023-10-25,5640
total,State 3,Zone R,2021-04-04,5604
total,State 2,Zone Q,2022-11-27,17569
total,State 1,Zone P,2022-08-11,3010
total,State 1,Zone R,2023-08-30,5462
total,State 1,Zone Q,2020-03-02,3905
total,State 3,Zone R,2023-02-06,5328
total,State 3,Zone P,2020-10-01,6146
total,State 2,Zone R,2023-07-27,6589
total,State 3,Zone Q,2021-04-09,5905
total,State 1,Zone Q,2023-03-30,5694
total,State 2,Zone R,2022-10-05,7086
total,State 1,Zone Q,2020-12-12,12184
total,State 1,Zone Q,2022-04-15,7140
total,State 1,Zone Q,2022-09-01,6157
total,State 2,Zone R,2023-04-26,10525
total,State 1,Zone R,2021-06-02,4736
total,State 3,Zone P,2021-05-24,3987
total,State 2,Zone Q,2020-09-09,6371
total,State 1,Zone P,2020-06-27,3525
total,State 3,Zone Q,2022-05-10,5689
total,State 3,Zone Q,2020-11-20,5140
total,State 1,Zone Q,2022-08-31,5786
total,State 2,Zone Q,2023-12-26,9173
total,State 3,Zone P,2023-03-03,4166
total,State 1,Zone Q,2021-11-03,6616
total,State 2,Zone Q,2023-03-14,8458
total,State 1,Zone R,2022-11-15,7329
total,State 3,Zone Q,2021-07-11,5370
total,State 2,Zone Q,2023-07-04,7336
total,State 3,Zone P,2021-04-06,6509
total,State 2,Zone Q,2020-07-18,9165
total,State 2,Zone Q,2022-10-31,8393
total,State 3,Zone Q,2021-05-19,6150
total,State 3,Zone Q,2022-07-25,2710
total,State 1,Zone Q,2020-04-07,4861
total,State 1,Zone Q,2023-01-05,7009
total,State 2,Zone R,2020-05-26,9139
total,State 3,Zone P,2021-02-20,5949
total,State 3,Zone Q,2023-05-03,5047
total,State 2,Zone R,2023-02-24,10513
total,State 2,Zone Q,2022-07-16,6391
total,State 3,Zone R,2020-09-19,5765
total,State 1,Zone P,2020-09-22,7268
total,State 2,Zone Q,2021-10-25,7433
total,State 1,Zone P,2020-05-07,8153
total,State 1,Zone R,2022-04-05,4525
total,State 2,Zone R,2021-02-18,10610
total,State 3,Zone Q,2023-09-28,5443
total,State 3,Zone Q,2020-08-28,3485
total,State 2,Zone Q,2020-04-25,10962
total,State 3,Zone Q,2023-02-10,4056
total,State 2,Zone R,2022-01-16,12189
total,State 3,Zone Q,2023-05-20,7456
total,State 1,Zone P,2023-08-26,6967
total,State 3,Zone Q,2020-01-31,5856
total,State 2,Zone R,2023-01-01,9436
total,State 2,Zone R,2020-12-02,11401
total,State 3,Zone Q,2022-07-13,3899
total,State 2,Zone R,2020-06-05,5346
total,State 1,Zone R,2022-04-14,6906
total,State 2,Zone Q,2021-12-28,8025
total,State 1,Zone Q,2022-06-22,3187
total,State 2,Zone Q,2020-10-25,14010
total,State 3,Zone R,2023-05-09,5452
total,State 2,Zone R,2020-06-30,6796
total,State 3,Zone P,2022-03-05,6191
total,State 1,Zone R,2021-12-13,6490
total,State 3,Zone Q,2020-06-07,4388
total,State 3,Zone Q,2022-01-28,7456
total,State 1,Zone R,2022-05-20,6963
total,State 2,Zone Q,2022-03-15,10231
total,State 1,Zone Q,2021-06-15,4001
total,State 2,Zone P,2022-09-16,7787
total,State 2,Zone R,2020-01-27,11779
total,State 1,Zone P,2022-01-04,9381
total,State 3,Zone R,2023-10-01,6277
total,State 2,Zone R,2020-09-12,9495
total,State 1,Zone P,2020-02-20,5536
total,State 3,Zone R,2021-09-16,3897
total,State 1,Zone P,2022-03-25,6593
total,State 3,Zone R,2021-11-30,4685
total,State 3,Zone P,2021-09-03,3463
total,State 3,Zone P,2022-03-14,4828
total,State 2,Zone P,2022-10-28,7715
total,State 3,Zone R,2022-07-30,4754
total,State 1,Zone P,2021-07-07,3704
total,State 2,Zone R,2021-03-01,7720
total,State 2,Zone Q,2021-04-07,6334
total,State 3,Zone Q,2022-03-24,3877
total,State 2,Zone R,2020-10-01,10030
total,State 2,Zone Q,2022-12-03,18046
total,State 1,Zone Q,2022-12-28,8508
total,State 2,Zone P,2021-04-22,10984
total,State 2,Zone Q,2021-02-16,6990
total,State 1,Zone Q,2023-09-08,4715
total,State 3,Zone P,2021-01-23,9047
total,State 1,Zone P,2020-12-16,8659
total,State 1,Zone P,2021-08-02,4173
total,State 3,Zone Q,2020-10-14,5511
total,State 1,Zone P,2021-06-06,3816
total,State 2,Zone Q,2022-11-18,12128
total,State 3,Zone R,2021-08-22,3793
total,State 2,Zone R,2020-04-26,12479
total,State 2,Zone P,2023-07-07,5897
total,State 3,Zone Q,2022-12-09,8433
total,State 2,Zone P,2023-10-30,6556
total,State 1,Zone R,2022-06-11,5302
total,State 1,Zone Q,2022-06-30,3106
total,State 2,Zone R,2023-10-08,13927
total,State 3,Zone P,2020-05-18,3679
total,State 3,Zone R,2023-08-18,4089
total,State 1,Zone Q,2023-06-15,5086
total,State 2,Zone P,2020-11-11,8501
total,State 2,Zone R,2021-02-09,5976
total,State 2,Zone P,2020-09-22,6503
total,State 1,Zone R,2021-03-01,5203
total,State 3,Zone P,2021-10-20,6082
total,State 1,Zone R,2022-10-17,3596
total,State 1,Zone P,2020-04-04,6415
total,State 3,Zone R,2020-10-30,5768
total,State 2,Zone Q,2023-04-04,8422
total,State 2,Zone R,2020-07-25,7009
total,State 1,Zone Q,2023-12-13,10096
total,State 2,Zone Q,2021-10-22,8940
total,State 3,Zone Q,2023-06-12,2981
total,State 1,Zone Q,2021-06-20,4789
total,State 3,Zone R,2020-12-20,9495
total,State 1,Zone R,2021-04-23,5389
total,State 2,Zone P,2023-01-23,7204
total,State 2,Zone P,2022-05-07,7604
total,State 1,Zone R,2023-06-15,3881
total,State 3,Zone R,2022-09-12,5232
total,State 3,Zone R,2023-12-12,6177
total,State 1,Zone Q,2021-02-08,3435
total,State 1,Zone Q,2020-12-13,12291
total,State 3,Zone R,2023-03-31,5389
total,State 3,Zone R,2020-10-06,4772
total,State 1,Zone Q,2020-05-09,6631
total,State 2,Zone R,2023-03-05,13221
total,State 2,Zone Q,2020-08-28,8174
total,State 1,Zone R,2022-04-16,9761
total,State 1,Zone Q,2023-02-05,8082
total,State 1,Zone Q,2021-09-14,6795
total,State 2,Zone Q,2022-02-06,8414
total,State 3,Zone P,2022-08-02,2600
total,State 3,Zone R,2022-04-11,4509
total,State 3,Zone Q,2022-04-10,6281
total,State 3,Zone R,2022-01-13,5341
total,State 3,Zone R,2020-02-28,3598
total,State 1,Zone P,2023-08-10,3420
total,State 3,Zone P,2022-07-22,2953
total,State 1,Zone R,2022-05-19,4444
total,State 1,Zone R,2021-10-04,6288
total,State 3,Zone Q,2023-04-14,3513
total,State 2,Zone R,2022-04-12,6016
total,State 3,Zone Q,2022-10-25,5140
total,State 3,Zone R,2021-04-13,6199
total,State 3,Zone Q,2022-02-06,5664
total,State 3,Zone P,2023-11-30,7532
total,State 1,Zone P,2020-03-05,8132
total,State 3,Zone R,2022-08-20,4364
total,State 1,Zone R,2020-08-26,3012
total,State 2,Zone Q,2022-07-17,8794
total,State 3,Zone R,2020-12-26,9898
total,State 3,Zone R,2020-06-05,4629
total,State 1,Zone Q,2021-03-08,5379
total,State 2,Zone P,2023-05-01,5641
total,State 1,Zone Q,2020-02-23,9441
total,State 1,Zone R,2021-04-16,5523
total,State 3,Zone R,2022-01-28,4733
total,State 2,Zone P,2022-06-07,8248
total,State 2,Zone R,2021-06-29,6089
total,State 3,Zone R,2020-08-30,2885
total,State 1,Zone R,2021-05-04,5135
total,State 1,Zone Q,2020-11-18,8247
total,State 3,Zone Q,2020-10-11,6008
total,State 2,Zone R,2021-04-09,8645
total,State 3,Zone Q,2023-06-22,4399
total,State 3,Zone P,2021-02-23,4227
total,State 3,Zone P,2021-07-17,3571
total,State 1,Zone P,2020-02-01,8463
total,State 3,Zone Q,2020-03-07,6276
total,State 2,Zone Q,2021-05-05,9569
total,State 2,Zone Q,2022-02-05,10759
total,State 1,Zone Q,2020-02-15,6541
total,State 1,Zone R,2020-08-09,5063
total,State 1,Zone Q,2020-08-15,5852
total,State 1,Zone P,2022-11-01,6426
total,State 1,Zone R,2023-12-13,5582
total,State 1,Zone Q,2020-03-20,4184
total,State 1,Zone R,2023-02-05,5431
total,State 3,Zone P,2023-09-22,5471
total,State 1,Zone P,2022-10-25,4283
total,State 2,Zone R,2022-07-07,7535
total,State 2,Zone R,2022-04-05,10684
total,State 3,Zone P,2022-10-07,4134
total,State 3,Zone Q,2023-08-04,3889
total,State 2,Zone R,2023-11-15,8949
total,State 3,Zone R,2020-06-11,2941
total,State 3,Zone Q,2021-02-21,6652
total,State 3,Zone Q,2023-12-03,9977
total,State 1,Zone R,2021-04-14,6496
total,State 2,Zone Q,2022-07-21,5432
total,State 1,Zone R,2021-08-23,3640
total,State 1,Zone R,2021-10-07,6857
total,State 2,Zone R,2021-09-28,10448
total,State 2,Zone Q,2022-11-12,16693
total,State 1,Zone R,2023-05-08,5973
total,State 2,Zone Q,2022-05-07,9925
total,State 2,Zone P,2020-05-01,11201
total,State 3,Zone Q,2022-08-05,3554
total,State 2,Zone P,2020-08-12,7001
total,State 1,Zone Q,2021-05-19,7624
total,State 3,Zone R,2021-10-30,5266
total,State 1,Zone P,2021-03-23,5319
total,State 2,Zone P,2023-02-01,9343
total,State 2,Zone Q,2021-03-28,10940
total,State 2,Zone Q,2021-10-10,11970
